;MN;HD;HR;HIP;Gl;Name;OtherDesignations;ProperName;Bayer;Flamsteed;Constellation;RAJ2000;DecJ2000;pmRA;pmDec;RadVel;Distance;Vmag;Vmag_min;Vmag_max;B-V;SpType;Luminosity;XJ2000;YJ2000;ZJ2000;VXJ2000;VYJ2000;VZJ2000;Primary;MultipleID;IsMultiple;IsVariable
0;1;0;0;0;;Sol;MN 1/Sol;Sol;;;;0,0;0,0;0,0;0,0;0,0;0,0;-26,7;;;0,656;G2V;1,0;5e-06;0,0;0,0;0,0;0,0;0,0;0;;0;0
115598;115599;0;0;70890;Gl 551;Proxima Centauri;Gl 551/HIP 70890/HYG 70665/MN 115599/Proxima Centauri;Proxima Centauri;;;Cen;14,495985;-62,679485;-3775,64;768,16;-16,0;1,2959;11,01;11,079;10,939;1,807;M5Ve;5,77032135333e-05;-0,472264;-0,361451;-1,151219;1,675e-05;2,079e-05;-1,186e-05;70666;;0;1
4;5;128620;5459;71683;Gl 559A;Rigil Kentaurus;Alp1Cen/Gl 559A/HD 128620/HIP 71683/HR 5459/HYG 71455/MN 5/Rigil Kentaurus/α1 Cen;Rigil Kentaurus;α1 Cen;;Cen;14,660765;-60,833976;-3678,19;481,84;-26,2;1,3248;-0,01;0,113;-0,087;0,71;G2V;1,543121065657792;-0,495203;-0,414084;-1,156625;2,491e-05;2,476e-05;-7,22e-06;71456;Gl 559;1;1
22;23;128621;5460;71681;Gl 559B;Toliman;Alp2Cen/Gl 559B/HD 128621/HIP 71681/HR 5460/HYG 71452/MN 23/Toliman/α2 Cen;Toliman;α2 Cen;;Cen;14,660346;-60,8383;-3678,19;481,84;-26,2;1,3248;1,35;;;0,9;K1V;0,4409608164506375;-0,495181;-0,413973;-1,156674;2,491e-05;2,476e-05;-7,22e-06;71456;Gl 559;1;0
99877;99878;0;0;87937;Gl 699;Barnard's Star;Barnard's Star/Gl 699/HIP 87937/HYG 87664/MN 99878;Barnard's Star;;;Oph;17,963472;4,693388;-797,84;9999,99;-111,0;1,8238;9,54;9,59;9,49;1,57;sdM4;0,0004425883723626;-0,017373;-1,816613;0,149123;7,888e-05;0,0001204;-5,91e-06;87665;;0;1
118974;118975;0;0;0;Gl 406;Wolf 359;Gl 406/HYG 118715/MN 118975/Wolf 359;Wolf 359;;;Leo;10,941484;7,01532;-3822,95;-2716,83;13,0;2,3906;13,45;;;2,0;M6;2,0758692705e-05;-2,282811;0,649334;0,292057;-2,961e-05;4,728e-05;-4,33e-06;118720;;0;0
25435;25436;95735;0;54035;Gl 411;Lalande 21185;Gl 411/HD 95735/HIP 54035/HYG 53879/Lalande 21185/MN 25436;Lalande 21185;;;UMa;11,055632;35,969877;-580,2;-4767,09;-84,3;2,5469;7,49;;;1,502;M2V;0,0057016427228074;-1,998;0,504305;1,495504;-9,828e-05;-1,66e-06;3,587e-05;53879;;0;0
118579;118580;0;0;0;Gl 65B;Gl 65B;Gl 65B/HYG 118077/MN 118580;;;;Cet;1,650199;-17,949782;3312,95;560,34;32,0;2,6267;12,7;;;0,0;dM5,5e;4,99804313578e-05;2,270631;1,047031;-0,81001;-3,3e-06;5,226e-05;1,265e-05;118079;Gl  65;1;0
118497;118498;0;0;0;Gl 65A;Gl 65A;Gl 65A/HYG 118076/MN 118498;;;;Cet;1,650199;-17,949782;3312,95;560,34;29,0;2,6267;12,57;;;1,85;dM5,5e;5,63378150851e-05;2,270499;1,04697;-0,809963;-2,36e-06;5,104e-05;1e-05;118079;Gl  65;1;0
58930;58931;0;0;0;Gl 244B;Gl 244B;Gl 244B/HYG 118436/MN 58931;;;;CMa;6,752559;-16,71524;-543,2;-1203,05;0,0;2,6371;8,44;;;-0,03;DA2;0,0025491770505091;-0,494379;2,476814;-0,75847;-1,473e-05;-2,97e-06;7,68e-06;32263;Gl 244;1;0
