HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,Vmag,IsMultiple,UpdateName
48915,2491,32349,Sirius,9 CMa/AGC 1/HL 3/HR 2491/LEC 1/α CMa/β 1411,Sirius,α CMa,9 CMa,CMa,101.287155,-16.716116,-1.45,0.0,2016-06-30
45348,2326,30438,Canopus,CRU 9006/HR 2326/MAM 2/α Car,Canopus,α Car,,Car,95.987958,-52.695661,-0.62,0.0,2016-06-30
124897,5340,69673,Arcturus,16 Boo/HR 5340/α Boo,Arcturus,α Boo,16 Boo,Boo,213.9153,19.182409,-0.05,0.0,2016-06-30
128620,5459,71683,Rigil Kentaurus,HR 5459/LDS 494/RHD 1/α Cen/α1 Cen,Rigil Kentaurus,α1 Cen,,Cen,219.902066,-60.833975,-0.01,0.0,2016-11-06
172167,7001,91262,Vega,3 Lyr/H 5 39/HR 7001/MBA 2/MET 11/SMR 33/Σ II 9/α Lyr,Vega,α Lyr,3 Lyr,Lyr,279.234735,38.783689,0.03,0.0,2016-06-30
34029,1708,24608,Capella,13 Aur/ANJ 1/BAR 25/FRH 1/HJ 2256/HR 1708/SHJ 51/SHY 23/SMR 26/α Aur/β 1392,Capella,α Aur,13 Aur,Aur,79.172328,45.997991,0.08,0.0,2016-06-30
34085,1713,24436,Rigel,19 Ori/HR 1713/Σ 668/β 555/β Ori,Rigel,β Ori,19 Ori,Ori,78.634467,-8.201638,0.18,0.0,2016-06-30
61421,2943,37279,Procyon,10 CMi/D 29/DIC 1/HR 2943/LAM 6/SHB 1/SLE 439/SMR 11/α CMi,Procyon,α CMi,10 CMi,CMi,114.825493,5.224993,0.4,0.0,2016-06-30
10144,472,7588,Achernar,HR 472/α Eri,Achernar,α Eri,,Eri,24.428523,-57.236753,0.45,0.0,2016-06-30
39801,2061,27989,Betelgeuse,58 Ori/H 6 39/HR 2061/KAR 1/SLE 831/SMR 29/α Ori,Betelgeuse,α Ori,58 Ori,Ori,88.792939,7.407064,0.45,0.0,2016-06-30
122451,5267,68702,Hadar,HR 5267/RBT 1/VOU 31/β Cen,Hadar,β Cen,,Cen,210.955856,-60.373035,0.61,0.0,2016-08-21
187642,7557,97649,Altair,53 Aql/DAL 27/GMC 5/HR 7557/SMR 5/Σ II 10/α Aql,Altair,α Aql,53 Aql,Aql,297.695827,8.868321,0.76,0.0,2016-06-30
29139,1457,21421,Aldebaran,87 Tau/HR 1457/Σ II 2/α Tau/β 1031/β 550,Aldebaran,α Tau,87 Tau,Tau,68.980163,16.509302,0.87,0.0,2016-06-30
116658,5056,65474,Spica,67 Vir/HR 5056/OCC 418/α Vir/β pm 150,Spica,α Vir,67 Vir,Vir,201.298247,-11.161319,0.98,0.0,2016-06-30
148478,6134,80763,Antares,21 Sco/GNT 1/HR 6134/α Sco,Antares,α Sco,21 Sco,Sco,247.351915,-26.432003,1.06,0.0,2016-06-30
62509,2990,37826,Pollux,78 Gem/H 6 42/HR 2990/Σ II 5/β 580/β Gem,Pollux,β Gem,78 Gem,Gem,116.328958,28.026199,1.16,0.0,2015-12-15
216956,8728,113368,Fomalhaut,24 PsA/79 Aqr/HR 8728/KAL 1/MAM 1/SHY 106/α PsA,Fomalhaut,α PsA,24 PsA,PsA,344.412693,-29.622237,1.17,0.0,2015-12-15
197345,7924,102098,Deneb,50 Cyg/H N 73/HR 7924/α Cyg,Deneb,α Cyg,50 Cyg,Cyg,310.35798,45.280339,1.25,0.0,2016-06-30
111123,4853,62434,Mimosa,ANT 8/HR 4853/I 362/Δ 125/β Cru,Mimosa,β Cru,,Cru,191.930263,-59.688764,1.25,0.0,2016-07-20
108248,4730,60718,Acrux,ANT 1/ANT 7/HD 108248/HD 108249/HIP 60718/HR 4730/HR 4731/SAO 251904/Δ 252/α Cru/α1 Cru/α1 Cru A/α1 Cru B/α2 Cru,Acrux,α1 Cru,,Cru,186.649563,-63.099093,1.33,1.0,2016-07-20
128621,5460,71681,Toliman,HR 5460/α Cen/α2 Cen,Toliman,α2 Cen,,Cen,219.896096,-60.837528,1.35,0.0,2018-08-10
87901,3982,49669,Regulus,32 Leo/HDO 127/HR 3982/Σ II 6/α Leo,Regulus,α Leo,32 Leo,Leo,152.092962,11.967209,1.36,0.0,2016-06-30
52089,2618,33579,Adhara,21 CMa/CPO 7/HR 2618/ε CMa,Adhara,ε CMa,21 CMa,CMa,104.656453,-28.972086,1.5,0.0,2016-08-21
108903,4763,61084,Gacrux,HR 4763/Δ 124/γ Cru,Gacrux,γ Cru,,Cru,187.791498,-57.113213,1.59,0.0,2016-07-20
35468,1790,25336,Bellatrix,24 Ori/HR 1790/JNN 4/β pm 78/γ Ori,Bellatrix,γ Ori,24 Ori,Ori,81.282764,6.349703,1.64,0.0,2016-06-30
35497,1791,25428,Elnath,112 Tau/23 Aur/BAR 26/HR 1791/JNN 5/OCC 115/β Tau/γ Aur,Elnath,β Tau,112 Tau,Tau,81.572971,28.607452,1.65,0.0,2016-07-20
80007,3685,45238,Miaplacidus,HR 3685/β Car,Miaplacidus,β Car,,Car,138.299906,-69.717208,1.67,0.0,2016-07-20
37128,1903,26311,Alnilam,46 Ori/HR 1903/β pm 81/ε Ori,Alnilam,ε Ori,46 Ori,Ori,84.053389,-1.201919,1.69,0.0,2016-07-20
209952,8425,109268,Alnair,HR 8425/RST 5483/α Gru,Alnair,α Gru,,Gru,332.05827,-46.960974,1.73,0.0,2016-07-20
37742,1948,26727,Alnitak,50 Ori/HD 37742/HD 37743/HIP 26727/HR 1948/HR 1949/NOI 1/SAO 132444/Σ 774/ζ Ori/ζ Ori A/ζ Ori B,Alnitak,ζ Ori,50 Ori,Ori,85.189694,-1.942574,1.74,1.0,2016-07-20
112185,4905,62956,Alioth,77 UMa/BLM 2/HR 4905/ε UMa,Alioth,ε UMa,77 UMa,UMa,193.50729,55.959823,1.76,0.0,2016-06-30
169022,6879,90185,Kaus Australis,20 Sgr/GOL 2/HR 6879/TOK 617/ε Sgr/λ 351,Kaus Australis,ε Sgr,20 Sgr,Sgr,276.042993,-34.384616,1.79,0.0,2016-07-20
20902,1017,15863,Mirfak,33 Per/HR 1017/α Per/β pm 44,Mirfak,α Per,33 Per,Per,51.080709,49.861179,1.79,0.0,2016-07-20
95689,4301,54061,Dubhe,50 UMa/HR 4301/α UMa/β 1077,Dubhe,α UMa,50 UMa,UMa,165.931965,61.751035,1.81,0.0,2016-06-30
54605,2693,34444,Wezen,25 CMa/HR 2693/β 1412/δ CMa,Wezen,δ CMa,25 CMa,CMa,107.09785,-26.3932,1.83,0.0,2016-07-20
120315,5191,67301,Alkaid,85 UMa/HR 5191/η UMa,Alkaid,η UMa,85 UMa,UMa,206.885157,49.313267,1.85,0.0,2016-06-30
